,Tri-gram,Frequency
0,dear sir madam,10
1,regional community college,9
2,please let know,7
3,dental hygiene program,6
4,able take class,3
5,currently full time,3
6,early childhood education,3
7,take placement test,3
8,scc student number,3
9,could give information,2
10,post bac program,2
11,community college long,2
12,program able take,2
13,another community college,2
14,need take class,2
15,application international student,2
16,lpn rn program,2
17,class need take,2
18,tai chi class,2
19,child care center,2
